,,,,,,,,
"Kvarnhjul 0,54m",,,,,,,,
Ström (A),,,,,Spänning (V),,,
Tid,Test 1,Test 2,Test 3,,Tid,Test 1,Test 2,Test 3
"8,15","0,0125885010","0,0509262085","0,1020431519",,"8,15","0,0732994080","0,0602722168","0,0334739685"
"8,25","0,0024795532","0,0873565674","0,0719070435",,"8,25","0,0357055664","0,0690460205","0,0289344788"
"8,5","0,1146316528","0,0965118408","0,0991821289",,"8,5","0,0038909912","0,0557136536","0,0540924072"
9,"0,1085281372","0,0995635986","0,0719070435",,9,"0,0554084778","0,0063133240","0,0395393372"
Medelvärde: ,"0,0608825826","0,0753468481","0,0838444151",,Medelvärde:,"0,0414986446","0,0539930936","0,0443780833"
,,,,,,,,
"Peltonturbin 1,6 m",,,,,,,,
Ström (A),,,,,Spänning (V),,,
Tid ,Test 1,Test 2,Test 3,,Tid ,Test 1,Test 2,Test 3
2,"0,0216865540","0,0540351868","0,0698280335",,2,"0,1321792603","0,1089096069","0,1195907593"
"2,15","0,0277519226","0,0734329224","0,0710296631",,"2,15","0,101852417","0,1361846924","0,1165390015"
"2,25","0,0329017639","0,0670623779","0,0777053833",,"2,25","0,1352310181","0,124168396","0,09822845459"
"2,5","0,0426101685","0,0679779053","0,0634574890",,"2,5","0,1201629639","0,1361846924","0,09822845459"
3,"0,0332069397","0,0591850281","0,0631523132",,3,"0,1232147217","0,08773803711","0,09822845459"
"3,15","0,0441169739","0,0767517090","0,0473976135",,"3,15","0,09593963623","0,1300811768","0,1134872437"
"3,25","0,0986671448","0,0528144836","0,0340652466",,"3,25","0,1232147217","0,1300811768","0,09231567383"
"3,5","0,0929069519","0,0634193420","0,0622558594",,"3,5","0,09899139404","0,1089096069","0,1043319702"
4,"0,1074600220","0,0570678711","0,0589179993",,4,"0,1201629639","0,1058578491","0,08926391602"
"4,15","0,0811004639","0,0673675537","0,0716400147",,"4,15","0,1443862915","0,124168396","0,1043319702"
"4,25","0,1214027405","0,0646400452","0,0601196289",,"4,25","0,1352310181","0,1180648804","0,09822845459"
"4,5","0,0956344605","0,0667572021","0,0319480896",,"4,5","0,1321792603","0,1272201538","0,1195907593"
5,"0,0835227966","0,0831222534","0,0646781921",,5,"0,1049041748","0,09994506836","0,1134872437"
"5,15","0,0816917419","0,0537300110","0,0725555420",,"5,15","0,1262664795","0,09078979492","0,1134872437"
"5,25","0,0686645508","0,0513076782","0,1067924500",,"5,25","0,1201629639","0,1180648804","0,107383728"
"5,5","0,0686645508","0,0664520264","0,0719451904",,"5,5","0,1232147217","0,1300811768","0,09822845459"
6,"0,0659370422","0,0676727295","0,1110458374",,6,"0,1262664795","0,1180648804","0,1012802124"
"6,15","0,0623130798","0,0573539734","0,0683021545",,"6,15","0,09593963623","0,09689331055","0,12550354"
"6,25","0,1089668274","0,0443267822","0,0780105591",,"6,25","0,1140594482","0,08773803711","0,1195907593"
"6,5","0,0965499878","0,0103950500","0,0913429260",,"6,5","0,1171112061","0,1361846924","0,1165390015"
7,"0,0995826721","0,0797843933","0,1025581360",,7,"0,08678436279","0,1180648804","0,1165390015"
"7,15","0,0647354126","0,0700950623","0,0710296631",,"7,15","0,1079559326","0,09689331055","0,1104354858"
"7,25","0,0804901123","0,0652503967","0,0461959839",,"7,25","0,1140594482","0,1150131226","0,1195907593"
"7,5","0,0932121277","0,0600814819","0,1028633118",,"7,5","0,1201629639","0,1028060913","0,0862121582"
8,"0,1217079163","0,0688743591","0,0795173645",,8,"0,1140594482","0,1028060913","0,1134872437"
"8,15","0,0592803955","0,0864601135","0,0937652588",,"8,15","0,1171112061","0,124168396","0,12550354"
"8,25","0,0456428528","0,0722122192","0,0528526306",,"8,25","0,09593963623","0,1180648804","0,1165390015"
"8,5","0,0720024109","0,0685691833","0,0428581238",,"8,5","0,1079559326","0,1180648804","0,1285552979"
9,"0,0671577454","0,0634193420","0,0610351563",,9,"0,1110076904","0,1211166382","0,1134872437"
Medelvärde:,"0,0444221497","0,0587272644","0,0699608902",,Medelvärde:,"0,1160588758","0,1149078895","0,1095936216"
